"specimen","IMAGE","SCALE","LM01_x","LM02_x","LM03_x","LM04_x","LM05_x","LM06_x","LM07_x","LM08_x","LM09_x","LM10_x","LM11_x","LM12_x","LM13_x","LM14_x","LM15_x","LM16_x","LM17_x","LM18_x","LM19_x","LM20_x","LM21_x","LM01_y","LM02_y","LM03_y","LM04_y","LM05_y","LM06_y","LM07_y","LM08_y","LM09_y","LM10_y","LM11_y","LM12_y","LM13_y","LM14_y","LM15_y","LM16_y","LM17_y","LM18_y","LM19_y","LM20_y","LM21_y"
"Ardipithecus","Ardi.png",0.048125,604,890,762,743,615,435,346,317,613,903,911,295,122,219,783,859,975,565,678,471,482,822,893,641,370,358,345,613,872,606,872,834,845,626,624,1155,1132,889,1096,207,219,865
"Gorilla","Gorilla_54327_Talus_Dorsal_L.png",0.006329,472,690,599,552,462,322,259,219,471,733,746,191,77,156,622,721,806,417,589,387,364,546,564,324,74,69,96,320,557,312,558,365,539,371,365,802,769,543,695,56,50,564
"Gorilla","Gorilla_81651_Talus_Dorsal_R.png",0.008694,510,330,431,429,509,651,739,792,511,299,276,820,917,850,413,317,243,607,417,616,648,619,667,466,277,241,235,450,664,445,641,523,624,517,515,860,827,592,774,178,167,662
"Gorilla","Gorilla_84089_Talus_Dorsal_L.png",0.00862,428,647,623,607,427,369,317,230,430,679,717,221,141,220,580,650,743,379,631,488,368,596,630,454,311,242,231,400,554,425,641,509,534,418,414,867,851,620,754,206,133,615
"Gorilla","Gorilla_90194_Talus_Dorsal_L.png",0.009344,561,722,669,722,559,477,394,337,561,739,829,315,251,312,638,702,809,455,732,599,464,561,600,410,237,188,172,337,523,370,594,450,500,378,377,814,802,615,681,154,112,565
"Gorilla","Gorilla_90289_Talus_Dorsal_L.png",0.008927,439,614,547,529,445,302,257,231,442,631,639,199,89,165,504,562,687,324,493,372,312,573,608,440,296,272,243,438,616,429,601,459,588,439,439,799,790,616,716,163,150,625
"Gorilla","Gorilla_90290_Talus_Dorsal_L.png",0.009173,461,642,526,509,447,293,262,261,451,656,669,241,106,178,539,637,706,411,503,307,380,540,525,353,189,177,190,375,567,358,513,381,553,457,453,739,710,512,698,114,114,573
"Gorilla","Gorilla_17684_Talus_Dorsal_L.png",0.005291,564,858,698,692,570,390,309,236,569,901,981,205,124,184,704,829,1010,477,759,504,438,757,786,503,225,208,217,479,753,500,756,597,718,622,621,1078,1050,809,975,209,138,797
"Gorilla","Gorilla_54091_Talus_Dorsal_L.png",0.005181,763,941,828,787,756,426,429,399,757,960,980,378,227,323,852,966,1119,636,750,547,566,700,675,490,239,216,280,514,730,466,666,617,694,523,518,985,958,732,904,128,133,751
"Gorilla","Gorilla_gorilla_99.1_1577_Talus_Dorsal_L.png",0.006666,602,903,770,744,596,435,384,342,594,929,959,311,180,264,795,865,1013,559,770,550,522,785,826,583,333,282,300,579,845,544,804,599,811,619,619,1069,1056,819,970,203,208,830
"Gorilla","Gorilla_gorilla_99.1_1578_Talus_Dorsal_L.png",0.006135,653,921,804,808,654,500,448,424,649,941,963,397,290,352,843,922,1056,630,797,614,592,770,785,583,357,326,347,569,788,565,770,728,731,606,604,1044,1024,776,962,269,262,793
